Number of Elements (n)	 Time (sec) 
10	0
100	1e-06
500	1e-06
1000	0
5000	0
10000	0
50000	1e-06
100000	3e-06
200000	3e-06
500000	5e-06
1000000	4e-06
2000000	6e-06
5000000	3e-06
10000000	1e-05
100000000	4e-06
500000000	5e-06
